時間戳記,分析對象,您/對方的星座,耐性,脾氣暴躁,幼稚,頑固,心思細膩,保守,冷靜,樂觀,活潑,公正,優柔寡斷,強勢,浪漫,過度理想化,斤斤計較,心機重,完美主義,愛計仇,與眾不同,愛面子,有魅力,正義感,重視友情,專情,愛哭,顧家,體貼,情緒化,口才,創意,對表單有什麼建議或想法嗎？,潔癖
2017/12/29 上午 12:56:03,我本人,金牛座,5,3,5,3,5,4,4,1,3,4,3,4,4,3,3,2,2,1,4,4,3,4,5,5,4,4,5,2,4,4,,4
2017/12/29 上午 12:56:09,我本人,天秤座,2,4,3,3,3,2,4,3,3,4,5,4,4,4,4,2,4,2,4,4,3,4,4,4,4,4,4,4,3,4,嘿,3
2017/12/29 上午 12:56:10,我本人,雙子座,2,4,3,3,4,3,2,2,4,3,5,4,4,5,3,4,3,4,4,5,3,4,5,4,3,4,4,5,5,4,,3
2017/12/29 上午 12:56:25,我本人,天秤座,4,3,4,4,4,3,4,4,4,4,4,2,5,4,2,2,4,2,3,4,3,4,4,5,2,4,5,3,4,4,,4
2017/12/29 上午 12:56:36,我本人,雙魚座,3,2,3,2,5,2,4,5,5,5,4,3,2,3,3,2,3,1,3,3,3,4,4,4,5,5,5,3,3,5,,4
2017/12/29 上午 12:56:44,我本人,處女座,5,3,5,5,5,5,2,2,3,2,5,2,5,4,5,1,4,1,5,4,3,2,5,5,5,2,5,5,5,5,,3
2017/12/29 上午 12:56:52,我本人,獅子座,1,3,2,4,3,3,4,3,3,3,2,3,1,2,3,3,4,3,4,3,3,4,3,3,2,3,3,2,3,3,,4
2017/12/29 上午 12:56:56,他人,獅子座,4,5,1,3,1,4,4,4,5,2,4,1,2,4,2,2,1,5,1,5,2,2,4,5,3,5,2,5,1,2,,1
2017/12/29 上午 12:56:59,我本人,牡羊座,3,3,4,3,3,2,3,4,3,4,4,3,3,2,3,1,3,2,3,2,3,4,4,5,2,5,4,3,3,3,,3
2017/12/29 上午 12:57:39,我本人,天蠍座,2,4,3,3,2,2,5,3,3,4,5,5,2,2,2,4,4,4,4,4,4,3,4,4,1,2,2,1,4,4,,3
2017/12/29 上午 12:57:40,我本人,巨蟹座,3,4,2,2,4,2,2,4,4,3,4,4,4,4,3,4,3,2,4,4,4,4,4,4,2,4,2,4,3,4,,4
2017/12/29 上午 12:57:41,我本人,處女座,4,1,4,5,4,4,5,1,1,3,5,2,3,5,3,5,4,3,4,5,3,5,3,4,5,5,4,4,3,1,沒有,4
2017/12/29 上午 12:58:09,我本人,獅子座,2,3,2,2,2,3,3,5,3,2,2,3,2,4,4,2,3,2,4,4,4,4,4,4,2,5,4,4,3,5,,3
2017/12/29 上午 12:58:10,我本人,雙子座,3,2,3,1,1,3,4,5,5,5,5,5,5,3,5,1,4,2,5,3,2,5,5,5,4,1,4,4,5,5,,4
2017/12/29 上午 12:58:29,我本人,天秤座,3,3,3,4,5,3,3,3,3,4,5,4,4,3,4,3,4,4,3,3,4,4,4,5,5,4,5,4,2,3,,3
2017/12/29 上午 12:58:33,我本人,天蠍座,2,3,2,3,4,2,3,1,1,3,3,2,3,3,2,2,3,4,4,4,3,3,4,5,3,4,3,4,2,2,,2
2017/12/29 上午 12:58:56,我本人,天蠍座,3,3,4,4,4,4,3,2,3,3,2,4,2,2,3,3,3,5,4,2,4,4,5,5,2,3,4,4,3,4,,3
2017/12/29 上午 12:59:16,我本人,牡羊座,2,3,4,3,1,4,1,5,5,3,2,4,5,5,2,3,2,4,3,4,5,5,4,3,5,4,5,4,3,3,,2
2017/12/29 上午 12:59:27,我本人,金牛座,4,4,4,4,4,2,5,2,2,5,4,3,2,2,2,2,3,1,3,4,2,3,5,4,2,4,4,3,2,3,,4
2017/12/29 上午 12:59:45,我本人,射手座,2,4,5,4,1,2,3,4,4,4,4,4,4,4,2,2,2,3,3,4,3,5,4,3,2,3,4,4,4,3,,3
2017/12/29 上午 12:59:48,我本人,處女座,4,4,5,5,4,2,4,2,3,2,2,3,2,2,4,2,3,2,3,4,2,2,4,2,1,4,4,2,2,4,,4
2017/12/29 上午 1:00:12,他人,水瓶座,2,4,1,3,3,3,3,2,3,2,2,4,3,1,2,4,3,5,4,5,4,3,3,5,1,4,4,5,4,4,,3
2017/12/29 上午 1:00:32,我本人,雙魚座,4,2,2,2,3,3,4,4,3,3,5,2,2,4,4,2,2,2,4,3,3,3,4,4,2,3,3,2,3,3,,2
2017/12/29 上午 1:00:54,我本人,牡羊座,2,3,1,3,4,3,3,2,4,3,2,3,3,3,3,4,2,2,4,4,4,4,4,3,4,3,3,4,4,4,,3
2017/12/29 上午 1:01:14,我本人,金牛座,4,2,2,4,4,2,2,5,4,3,5,1,4,4,4,2,2,1,2,4,2,4,5,5,4,4,5,4,2,4,,3
2017/12/29 上午 1:01:18,我本人,天蠍座,3,3,3,2,4,3,4,3,3,4,3,4,2,2,3,3,3,5,3,3,3,3,4,5,1,4,3,3,3,3,,4
2017/12/29 上午 1:02:41,我本人,雙子座,3,3,2,4,5,1,5,2,2,3,4,1,3,3,3,3,4,3,3,5,4,4,5,5,3,5,5,3,3,2,,4
2017/12/29 上午 1:02:44,我本人,巨蟹座,4,3,4,1,5,3,2,3,3,4,4,3,3,4,4,3,3,1,4,2,4,4,4,2,4,4,5,4,2,2,,4
2017/12/29 上午 1:02:45,我本人,巨蟹座,4,3,4,1,5,3,2,3,3,4,4,3,3,4,4,3,3,1,4,2,4,4,4,2,4,4,5,4,2,2,,4
2017/12/29 上午 1:02:45,我本人,處女座,2,4,4,3,5,4,4,2,4,4,4,3,3,1,3,4,4,4,4,4,3,3,5,4,4,3,5,3,5,4,,4
2017/12/29 上午 1:03:46,他人,射手座,3,3,2,2,4,3,3,5,3,3,3,3,3,4,3,3,4,3,4,4,3,3,4,3,4,3,3,4,2,4,,3
2017/12/29 上午 1:03:54,我本人,雙魚座,4,2,2,2,3,2,4,4,3,3,5,3,4,4,3,3,3,4,3,4,3,4,4,3,4,3,4,4,1,3,,2
2017/12/29 上午 1:04:14,我本人,射手座,2,4,2,3,1,3,3,5,5,4,2,4,3,3,4,1,4,2,5,4,5,4,4,3,3,2,2,3,5,4,Funny,3
2017/12/29 上午 1:04:20,我本人,射手座,4,2,3,2,3,4,3,4,4,4,3,3,4,4,4,2,1,3,5,2,2,4,5,5,3,2,4,4,3,4,射手座在物色對象算是花心 但是喜歡上一個人會變得很專情 所以有一題不太知道怎麼選,2
2017/12/29 上午 1:04:25,我本人,天蠍座,4,4,3,4,4,4,3,2,2,3,3,4,4,4,3,3,3,3,4,4,3,4,4,5,2,4,4,3,4,3,,3
2017/12/29 上午 1:06:02,我本人,處女座,3,3,4,3,4,4,4,4,4,4,3,3,4,1,4,3,2,3,4,3,3,3,4,4,3,5,4,3,5,5,,2
2017/12/29 上午 1:06:11,我本人,金牛座,3,3,3,4,3,2,2,3,3,4,5,5,4,4,2,3,4,5,2,4,3,4,4,5,5,3,3,5,3,5,,4
2017/12/29 上午 1:06:47,我本人,巨蟹座,2,5,1,4,5,3,2,3,4,4,4,3,4,4,4,1,1,1,3,5,3,4,4,4,5,4,5,5,4,4,不要一直給我希望，然後又跑出一堆題目啦XDD,4
2017/12/29 上午 1:07:47,我本人,雙魚座,3,2,3,1,3,4,4,4,3,4,3,3,5,3,4,2,2,4,4,2,3,5,5,4,1,3,4,1,3,5,,3
2017/12/29 上午 1:07:50,我本人,天秤座,4,1,1,2,4,2,3,3,3,3,4,2,3,3,3,2,3,2,3,3,3,3,4,5,4,4,4,4,4,2,,3
2017/12/29 上午 1:08:17,我本人,牡羊座,2,3,4,4,4,3,4,3,3,2,3,4,2,3,2,3,2,4,3,4,3,4,4,4,2,3,4,3,3,4,沒有,2
2017/12/29 上午 1:08:25,我本人,雙子座,2,3,3,3,2,3,3,2,4,3,5,3,3,2,3,2,3,2,3,4,3,3,4,3,2,3,4,4,4,3,,3
2017/12/29 上午 1:09:24,我本人,巨蟹座,4,1,1,4,3,3,2,3,4,4,3,2,2,4,4,3,4,2,4,2,3,4,4,5,5,4,4,5,4,4,,3
2017/12/29 上午 1:09:35,我本人,摩羯座,4,3,2,3,2,2,4,1,2,3,4,2,1,2,2,3,4,3,4,4,2,3,5,4,3,3,2,2,2,1,,3
2017/12/29 上午 1:09:53,我本人,巨蟹座,2,1,3,3,5,2,4,3,1,4,4,2,4,4,4,5,2,2,3,3,2,4,4,5,5,5,5,1,3,3,,3
2017/12/29 上午 1:10:06,我本人,獅子座,4,3,4,3,2,4,3,3,4,4,4,2,4,3,3,2,2,1,2,5,3,3,4,5,5,3,4,4,2,3,辛苦了,3
2017/12/29 上午 1:10:07,我本人,處女座,4,3,5,3,5,2,4,1,2,5,5,3,3,1,4,2,4,3,5,3,3,4,4,5,1,4,5,2,3,3,,4
2017/12/29 上午 1:10:11,他人,處女座,5,1,1,5,5,2,5,2,2,5,2,5,2,2,2,4,5,5,4,5,4,3,4,3,2,3,2,1,5,4,兩個很像的人，作答的時候會他們一起納入考量。這份可以乘二嗎？好吧我知道很麻煩,4
2017/12/29 上午 1:10:22,我本人,天秤座,4,3,2,4,5,2,3,2,2,3,3,2,4,4,4,4,5,1,5,5,4,5,4,4,5,5,4,5,4,2,,2
2017/12/29 上午 1:10:49,我本人,雙魚座,4,1,4,3,5,2,4,1,2,5,4,4,1,1,3,3,5,2,4,5,3,4,4,4,1,3,3,2,2,4,,4
2017/12/29 上午 1:11:10,我本人,水瓶座,4,3,4,4,4,3,3,4,5,3,4,3,3,3,3,1,2,3,4,3,3,4,4,5,4,3,3,4,3,2,,3
2017/12/29 上午 1:11:16,我本人,摩羯座,1,4,2,4,4,3,3,2,3,3,3,4,2,2,4,3,4,5,4,5,1,4,4,3,2,3,4,4,4,4,,3
2017/12/29 上午 1:12:39,我本人,牡羊座,3,3,2,3,2,3,4,2,4,3,4,4,4,4,2,2,3,1,4,3,3,2,5,4,5,4,5,5,4,4,,2
2017/12/29 上午 1:12:42,我本人,雙魚座,2,4,3,4,4,4,3,3,3,2,4,4,4,4,4,4,3,4,3,4,3,3,5,4,5,5,4,5,3,3,沒有,4
2017/12/29 上午 1:13:29,我本人,牡羊座,3,4,3,3,2,2,2,3,3,3,4,3,5,4,3,3,2,3,5,5,2,3,3,3,5,3,4,5,3,3,,1
2017/12/29 上午 1:14:14,我本人,獅子座,2,5,4,2,2,5,4,2,3,5,1,4,2,1,1,1,4,1,5,4,3,4,5,5,4,4,5,5,2,5,,4
2017/12/29 上午 1:14:22,他人,摩羯座,3,4,4,5,3,5,5,3,3,3,2,4,1,1,3,3,2,4,4,3,3,3,4,3,1,3,4,1,4,3,,3
2017/12/29 上午 1:14:43,我本人,水瓶座,4,3,5,4,4,2,2,4,4,3,3,2,2,4,1,2,2,3,4,3,4,5,5,5,3,5,5,4,4,5,,3
2017/12/29 上午 1:14:48,我本人,天秤座,3,2,4,3,5,2,4,2,4,3,5,3,2,1,2,2,4,4,5,4,4,5,5,3,4,2,4,3,4,4,,3
2017/12/29 上午 1:16:28,我本人,水瓶座,3,2,5,2,5,5,2,2,3,2,5,2,3,2,4,3,2,3,5,5,4,4,5,4,3,4,4,3,2,4,,4
2017/12/29 上午 1:16:28,他人,處女座,5,1,1,2,5,4,5,2,2,5,2,5,2,1,4,3,5,5,5,4,4,4,4,4,2,5,4,1,5,3,,5
2017/12/29 上午 1:16:36,我本人,天蠍座,3,4,2,2,4,2,3,3,3,4,4,3,4,3,2,1,3,4,5,3,4,5,5,5,4,4,4,4,5,5,,3
2017/12/29 上午 1:17:36,我本人,摩羯座,4,2,1,4,4,4,4,3,3,5,3,3,3,2,2,3,4,3,4,4,4,5,4,5,3,5,5,2,4,4,,4
2017/12/29 上午 1:17:39,我本人,獅子座,3,4,3,3,4,2,3,4,4,3,3,4,4,4,2,3,3,2,4,4,3,4,4,4,3,2,4,3,3,4,,3
2017/12/29 上午 1:18:03,他人,處女座,4,1,2,5,5,2,3,4,4,5,1,5,3,5,4,1,5,4,5,5,2,5,4,4,2,3,4,2,5,5,,5
2017/12/29 上午 1:18:05,他人,處女座,5,1,3,2,5,2,5,2,3,3,2,4,4,3,2,3,4,3,4,3,4,3,4,3,2,4,5,2,4,4,,3
2017/12/29 上午 1:18:07,我本人,獅子座,2,4,3,5,2,3,2,3,4,3,5,3,3,5,3,3,4,4,3,4,4,5,5,5,4,3,3,5,3,3,,3
2017/12/29 上午 1:18:35,我本人,水瓶座,2,3,4,4,4,5,3,3,3,4,4,3,4,4,4,4,4,4,4,5,3,4,5,5,4,5,4,3,2,4,,4
2017/12/29 上午 1:18:44,我本人,射手座,4,4,4,3,4,3,3,5,5,4,3,3,3,4,1,2,1,2,5,3,4,4,5,5,2,3,5,5,4,4,,2
2017/12/29 上午 1:18:59,我本人,射手座,2,3,4,4,2,3,2,4,3,3,4,4,3,4,3,3,4,1,2,2,2,4,5,4,5,2,4,4,2,3,,2
2017/12/29 上午 1:20:13,我本人,天秤座,2,2,2,3,4,4,4,2,2,4,5,3,2,2,2,3,4,2,3,4,2,3,5,3,2,2,3,2,2,3,,3
2017/12/29 上午 1:20:34,我本人,雙魚座,3,3,4,2,3,3,3,2,3,4,5,2,3,3,4,2,2,4,4,4,2,4,3,4,5,5,2,3,2,3,統計結果可以公布嗎XD,4
2017/12/29 上午 1:21:03,我本人,射手座,4,1,4,2,3,3,4,4,4,3,4,2,3,3,2,2,1,1,3,2,1,3,4,3,3,3,4,2,2,3,還蠻有趣的 哈哈哈,2
2017/12/29 上午 1:21:15,我本人,雙子座,2,4,5,3,4,5,1,1,4,2,5,2,4,5,3,3,4,4,2,3,1,4,3,5,2,3,5,5,4,4,,4
2017/12/29 上午 1:21:30,我本人,摩羯座,5,2,4,5,5,4,5,1,3,5,5,5,1,2,2,1,2,1,5,5,1,4,5,5,5,5,5,2,1,1,加油，期待結果,4
2017/12/29 上午 1:22:14,我本人,雙魚座,3,3,3,3,2,4,2,3,4,4,2,4,4,3,2,1,1,2,5,3,2,4,5,5,1,5,5,3,2,4,,3
2017/12/29 上午 1:23:20,我本人,水瓶座,4,4,5,3,1,2,3,3,3,5,4,3,4,4,2,2,5,1,5,5,4,5,5,3,3,3,5,1,5,5,,3
2017/12/29 上午 1:23:27,我本人,處女座,3,3,4,2,3,3,1,4,4,3,5,2,3,3,3,2,4,2,3,3,1,4,4,4,4,4,5,4,3,3,,3
2017/12/29 上午 1:23:35,我本人,處女座,3,4,5,4,5,4,3,3,4,2,5,3,4,4,3,3,4,4,3,5,3,3,5,4,4,3,3,5,3,3,,3
2017/12/29 上午 1:23:45,我本人,天蠍座,3,2,3,3,4,3,3,3,3,4,3,4,2,3,3,2,4,2,5,3,3,5,4,4,3,4,4,4,2,4,,4
2017/12/29 上午 1:23:48,我本人,射手座,2,3,4,4,4,4,3,4,3,4,2,4,3,2,2,1,2,2,4,5,3,4,5,5,5,4,5,5,3,3,,4
2017/12/29 上午 1:25:21,我本人,雙子座,3,2,4,2,4,3,2,4,4,3,4,3,4,3,3,2,4,2,3,4,3,3,4,4,2,3,4,3,3,4,,3
2017/12/29 上午 1:25:52,我本人,處女座,3,3,4,4,4,3,3,2,2,2,3,4,3,3,3,3,3,2,4,4,2,2,4,4,3,4,3,4,3,2,,2
2017/12/29 上午 1:26:07,他人,處女座,5,1,4,4,5,4,4,2,4,4,2,4,4,2,4,2,2,4,2,4,4,5,5,5,1,4,4,2,3,4,這隻處女可以睡在別人的拖鞋上，世間少有，給你們瞧瞧,1
2017/12/29 上午 1:26:56,我本人,天蠍座,2,4,5,5,3,3,2,4,5,3,3,3,4,4,2,3,3,5,3,5,3,4,5,4,4,3,4,3,2,4,無,2
2017/12/29 上午 1:27:03,我本人,天蠍座,2,4,5,5,3,3,2,4,5,3,3,3,4,4,2,3,3,5,3,5,3,4,5,4,4,3,4,3,2,4,無,2
2017/12/29 上午 1:28:09,我本人,牡羊座,1,4,5,4,4,3,2,4,3,4,3,5,3,4,2,2,3,2,3,4,4,4,3,3,5,2,3,4,2,4,,2
2017/12/29 上午 1:28:13,我本人,射手座,1,4,3,4,4,2,2,3,3,2,5,5,5,5,4,2,4,3,2,4,4,5,5,5,5,4,4,4,2,4,,4
2017/12/29 上午 1:28:47,我本人,巨蟹座,4,2,3,5,5,4,2,4,4,3,4,2,5,3,2,2,2,2,3,3,4,4,5,5,5,5,4,3,3,4,,4
2017/12/29 上午 1:31:19,他人,金牛座,5,3,3,4,4,3,4,4,3,3,5,4,1,1,5,3,2,4,5,4,1,2,3,4,3,5,5,3,1,3,,4
2017/12/29 上午 1:31:44,我本人,水瓶座,2,3,3,4,3,3,2,2,5,3,4,3,5,4,3,3,4,3,3,4,3,4,4,5,5,5,5,1,3,5,,4
2017/12/29 上午 1:33:29,我本人,摩羯座,4,3,3,4,5,4,3,4,2,3,4,2,3,2,3,3,2,4,2,4,3,3,3,4,4,3,5,4,3,3,,2
2017/12/29 上午 1:33:56,我本人,射手座,3,2,4,1,1,1,1,5,4,1,5,1,2,3,1,1,1,2,5,1,2,5,5,3,5,3,3,4,1,4,,1
2017/12/29 上午 1:34:21,我本人,水瓶座,2,1,5,1,3,2,2,3,4,2,4,3,3,3,3,5,2,2,4,3,4,3,5,2,4,3,3,2,4,5,,2
2017/12/29 上午 1:34:25,我本人,金牛座,3,5,2,5,5,3,3,1,3,5,2,5,3,2,3,1,4,1,3,5,3,5,4,5,4,5,5,3,1,3,,3
2017/12/29 上午 1:35:39,我本人,處女座,4,4,3,4,3,5,4,3,3,3,3,3,2,1,3,2,3,3,4,5,3,3,2,4,3,5,4,2,3,3,ㄚㄚㄚ,3
2017/12/29 上午 1:35:41,我本人,金牛座,2,3,2,2,5,3,2,4,3,4,4,3,3,3,2,2,2,5,2,5,4,2,4,4,2,3,4,4,5,4,問卷可以用1～5的量表，把問題問長一點，回答只要填分數，才是好的問卷設計,3
2017/12/29 上午 1:37:02,我本人,雙魚座,4,1,3,1,4,4,3,4,4,3,4,1,3,4,4,2,3,2,2,2,3,4,4,4,2,5,4,3,2,3,,4
2017/12/29 上午 1:37:04,我本人,天蠍座,4,2,2,3,4,3,4,3,3,4,3,4,3,2,3,2,5,3,4,2,3,4,4,5,1,4,4,2,4,4,,4
2017/12/29 上午 1:38:03,我本人,摩羯座,3,4,3,3,5,2,4,4,3,4,3,4,3,3,2,2,3,2,4,3,3,4,4,4,3,4,5,3,3,4,,3
2017/12/29 上午 1:38:18,我本人,射手座,1,4,4,3,1,2,2,5,4,2,3,4,3,4,1,1,1,1,4,4,5,4,5,2,2,1,2,5,4,3,,2
2017/12/29 上午 1:38:31,我本人,巨蟹座,4,2,2,3,4,3,3,2,3,3,2,3,3,3,2,2,4,4,4,3,3,3,5,5,5,5,5,5,4,4,,4
2017/12/29 上午 1:39:13,他人,天蠍座,1,3,3,4,3,3,2,2,3,3,5,3,1,1,2,3,3,3,4,4,4,3,4,3,3,4,5,5,4,3,,3
2017/12/29 上午 1:39:28,我本人,射手座,4,4,1,2,2,5,2,5,2,3,3,2,2,4,1,2,1,5,4,1,1,4,4,5,2,5,4,4,4,3,,2
2017/12/29 上午 1:39:45,他人,金牛座,3,4,3,4,3,3,3,4,4,4,4,4,3,2,4,3,2,2,4,4,3,3,3,3,3,3,3,3,4,4,,2
2017/12/29 上午 1:39:55,我本人,巨蟹座,2,4,4,5,4,4,2,3,3,2,5,3,4,5,4,2,2,2,3,5,3,4,3,4,5,5,4,5,2,1,,2
2017/12/29 上午 1:40:47,我本人,雙魚座,5,2,4,1,5,3,2,1,1,3,4,1,5,5,3,3,4,3,2,4,3,5,3,5,5,4,5,5,2,2,,4
2017/12/29 上午 1:41:04,我本人,水瓶座,3,2,5,4,4,3,3,1,3,4,5,1,4,4,4,1,1,4,1,5,3,3,5,4,5,4,5,5,2,3,,4
2017/12/29 上午 1:41:41,我本人,牡羊座,3,2,4,3,4,3,2,4,3,3,4,2,4,3,3,2,2,2,3,3,4,3,5,4,4,4,3,3,2,2,,3
2017/12/29 上午 1:41:42,我本人,摩羯座,4,2,1,3,5,4,5,4,2,5,3,3,4,1,3,4,4,2,4,4,2,5,4,5,3,5,4,2,5,3,,2
2017/12/29 上午 1:41:48,我本人,射手座,4,4,1,2,2,5,2,5,2,3,3,2,2,4,1,2,1,5,4,1,1,4,4,5,2,5,4,4,4,3,,2
2017/12/29 上午 1:42:40,我本人,天蠍座,1,4,5,4,1,4,2,1,4,1,5,2,1,5,1,5,5,5,2,4,2,5,5,4,5,2,3,4,1,2,很棒，喜歡單選題,2
2017/12/29 上午 1:42:51,我本人,射手座,3,4,3,2,2,3,2,2,2,2,3,3,1,3,3,2,2,1,4,4,4,5,5,5,5,1,4,4,4,4,,2
2017/12/29 上午 1:43:05,我本人,天蠍座,4,3,3,3,4,4,5,2,3,3,4,3,3,2,3,3,4,5,5,5,4,4,5,5,3,5,5,3,4,4,,2
2017/12/29 上午 1:43:18,我本人,天秤座,4,3,2,3,5,3,4,5,5,4,5,4,5,3,1,3,4,1,4,4,4,4,4,4,5,4,4,3,5,5,,4
